title,city,education,experience,company,company_size,company_type,salary_text,skills,description,publish_date,link,salary_min,salary_max,salary_avg,skill_list,skill_count
Python开发工程师,北京,不限,1-3年,星创数据有限公司,2000人以上,上市公司,16-25K,"python, flask, linux, docker, sql",Python开发工程师岗位：与产品和运营协作，输出数据专题分析报告。核心技能：python、flask、linux、docker、sql。要求具备扎实的编程基础与数据敏感度，熟悉主流工具链，有良好的团队协作与文档习惯。,2026-06-13,https://job.example.com/42_00011,16.0,25.0,20.5,"['python', 'flask', 'linux', 'docker', 'sql']",5
Python开发工程师,武汉,本科,1-3年,海数科技有限公司,50-150人,国企,14-19K·13薪,"sql, 爬虫, python, flask, django",Python开发工程师岗位：与产品和运营协作，输出数据专题分析报告。核心技能：sql、爬虫、python、flask、django。要求具备扎实的编程基础与数据敏感度，熟悉主流工具链，有良好的团队协作与文档习惯。,2026-06-24,https://job.example.com/42_00012,14.0,19.0,16.5,"['sql', '爬虫', 'python', 'flask', 'django']",5
大数据开发工程师,南京,本科,5-10年,智途科技有限公司,50-150人,国企,18-24K·16薪,"java, flink, hive, sql, linux",大数据开发工程师岗位：参与数据平台建设，保障数据质量与时效性。核心技能：java、flink、hive、sql、linux。要求具备扎实的编程基础与数据敏感度，熟悉主流工具链，有良好的团队协作与文档习惯。,2026-07-22,https://job.example.com/42_00013,18.0,24.0,21.0,"['java', 'flink', 'hive', 'sql', 'linux']",5
数据分析师,广州,硕士,经验不限,海图软件有限公司,50-150人,国企,13-16K·15薪,"numpy, pandas, 统计学, excel, sql",数据分析师岗位：参与数据平台建设，保障数据质量与时效性。核心技能：numpy、pandas、统计学、excel、sql。要求具备扎实的编程基础与数据敏感度，熟悉主流工具链，有良好的团队协作与文档习惯。,2026-07-11,https://job.example.com/42_00014,13.0,16.0,14.5,"['numpy', 'pandas', '统计学', 'excel', 'sql']",5
数据分析师,北京,硕士,1-3年,智帆科技有限公司,2000人以上,民营,1.8-2.7万/月,"数据可视化, 统计学, sql, python, pandas",数据分析师岗位：负责业务数据的采集、清洗与指标体系搭建。核心技能：数据可视化、统计学、sql、python、pandas。要求具备扎实的编程基础与数据敏感度，熟悉主流工具链，有良好的团队协作与文档习惯。,2026-06-16,https://job.example.com/42_00015,18.0,27.0,22.5,"['数据可视化', '统计学', 'sql', 'python', 'pandas']",5
ETL工程师,深圳,硕士,3-5年,锐创网络有限公司,150-500人,国企,2.0-2.6万/月,"sql, 数据仓库, python, spark, hive",ETL工程师岗位：参与数据平台建设，保障数据质量与时效性。核心技能：sql、数据仓库、python、spark、hive。要求具备扎实的编程基础与数据敏感度，熟悉主流工具链，有良好的团队协作与文档习惯。,2026-07-04,https://job.example.com/42_00016,20.0,26.0,23.0,"['sql', '数据仓库', 'python', 'spark', 'hive']",5
BI工程师,广州,大专,3-5年,锐创科技有限公司,少于50人,上市公司,15-20K,"powerbi, 数据可视化, excel, sql, etl",BI工程师岗位：与产品和运营协作，输出数据专题分析报告。核心技能：powerbi、数据可视化、excel、sql、etl。要求具备扎实的编程基础与数据敏感度，熟悉主流工具链，有良好的团队协作与文档习惯。,2026-06-09,https://job.example.com/42_00017,15.0,20.0,17.5,"['powerbi', '数据可视化', 'excel', 'sql', 'etl']",5
机器学习工程师,成都,本科,在校/应届,蓝图科技有限公司,50-150人,外资,面议,"tensorflow, pytorch, 深度学习, nlp, python",机器学习工程师岗位：参与数据平台建设，保障数据质量与时效性。核心技能：tensorflow、pytorch、深度学习、nlp、python。要求具备扎实的编程基础与数据敏感度，熟悉主流工具链，有良好的团队协作与文档习惯。,2026-08-10,https://job.example.com/42_00018,,,,"['tensorflow', 'pytorch', '深度学习', 'nlp', 'python']",5
数据挖掘工程师,杭州,本科,3-5年,锐合网络有限公司,少于50人,民营,18-21K,"机器学习, 统计学, 数据挖掘, spark, pandas",数据挖掘工程师岗位：负责核心算法的调研、实现与线上效果优化。核心技能：机器学习、统计学、数据挖掘、spark、pandas。要求具备扎实的编程基础与数据敏感度，熟悉主流工具链，有良好的团队协作与文档习惯。,2026-07-13,https://job.example.com/42_00019,18.0,21.0,19.5,"['机器学习', '统计学', '数据挖掘', 'spark', 'pandas']",5
数据挖掘工程师,杭州,本科,3-5年,海帆智能有限公司,少于50人,外资,16-25K,"sql, pandas, spark, python, 统计学",数据挖掘工程师岗位：负责业务数据的采集、清洗与指标体系搭建。核心技能：sql、pandas、spark、python、统计学。要求具备扎实的编程基础与数据敏感度，熟悉主流工具链，有良好的团队协作与文档习惯。,2026-06-06,https://job.example.com/42_00020,16.0,25.0,20.5,"['sql', 'pandas', 'spark', 'python', '统计学']",5
大数据开发工程师,成都,不限,5-10年,蓝脉智能有限公司,500-2000人,上市公司,1.4-1.9万/月,"java, hadoop, spark, hive, linux",大数据开发工程师岗位：负责业务数据的采集、清洗与指标体系搭建。核心技能：java、hadoop、spark、hive、linux。要求具备扎实的编程基础与数据敏感度，熟悉主流工具链，有良好的团队协作与文档习惯。,2026-06-23,https://job.example.com/42_00021,14.0,19.0,16.5,"['java', 'hadoop', 'spark', 'hive', 'linux']",5
BI工程师,北京,本科,3-5年,启脉科技有限公司,500-2000人,国企,20-28K,"powerbi, 数据可视化, tableau, etl, sql",BI工程师岗位：负责业务数据的采集、清洗与指标体系搭建。核心技能：powerbi、数据可视化、tableau、etl、sql。要求具备扎实的编程基础与数据敏感度，熟悉主流工具链，有良好的团队协作与文档习惯。,2026-06-30,https://job.example.com/42_00022,20.0,28.0,24.0,"['powerbi', '数据可视化', 'tableau', 'etl', 'sql']",5
机器学习工程师,北京,大专,在校/应届,海创软件有限公司,2000人以上,外资,1.0-1.7万/月,"tensorflow, 深度学习, pytorch, python, 机器学习",机器学习工程师岗位：负责核心算法的调研、实现与线上效果优化。核心技能：tensorflow、深度学习、pytorch、python、机器学习。要求具备扎实的编程基础与数据敏感度，熟悉主流工具链，有良好的团队协作与文档习惯。,2026-06-23,https://job.example.com/42_00023,10.0,17.0,13.5,"['tensorflow', '深度学习', 'pytorch', 'python', '机器学习']",5
ETL工程师,杭州,本科,经验不限,锐途软件有限公司,2000人以上,国企,14-17K·14薪,"数据仓库, spark, hive, python, etl",ETL工程师岗位：参与数据平台建设，保障数据质量与时效性。核心技能：数据仓库、spark、hive、python、etl。要求具备扎实的编程基础与数据敏感度，熟悉主流工具链，有良好的团队协作与文档习惯。,2026-08-08,https://job.example.com/42_00024,14.0,17.0,15.5,"['数据仓库', 'spark', 'hive', 'python', 'etl']",5
机器学习工程师,成都,硕士,经验不限,锐数软件有限公司,150-500人,合资,1.2-1.8万/月,"nlp, 深度学习, pytorch, tensorflow, python",机器学习工程师岗位：负责核心算法的调研、实现与线上效果优化。核心技能：nlp、深度学习、pytorch、tensorflow、python。要求具备扎实的编程基础与数据敏感度，熟悉主流工具链，有良好的团队协作与文档习惯。,2026-07-24,https://job.example.com/42_00025,12.0,18.0,15.0,"['nlp', '深度学习', 'pytorch', 'tensorflow', 'python']",5
BI工程师,广州,硕士,3-5年,启脉智能有限公司,2000人以上,外资,20-26K·14薪,"powerbi, 数据可视化, sql, tableau, excel",BI工程师岗位：参与数据模型设计与报表开发，支持业务决策。核心技能：powerbi、数据可视化、sql、tableau、excel。要求具备扎实的编程基础与数据敏感度，熟悉主流工具链，有良好的团队协作与文档习惯。,2026-07-31,https://job.example.com/42_00026,20.0,26.0,23.0,"['powerbi', '数据可视化', 'sql', 'tableau', 'excel']",5
数据挖掘工程师,上海,本科,3-5年,海数数据有限公司,50-150人,国企,面议,"统计学, spark, pandas, 数据挖掘, python",数据挖掘工程师岗位：参与数据模型设计与报表开发，支持业务决策。核心技能：统计学、spark、pandas、数据挖掘、python。要求具备扎实的编程基础与数据敏感度，熟悉主流工具链，有良好的团队协作与文档习惯。,2026-07-31,https://job.example.com/42_00027,,,,"['统计学', 'spark', 'pandas', '数据挖掘', 'python']",5
ETL工程师,上海,硕士,1-3年,星帆科技有限公司,少于50人,合资,19-22K·14薪,"linux, 数据仓库, etl, spark, python",ETL工程师岗位：与产品和运营协作，输出数据专题分析报告。核心技能：linux、数据仓库、etl、spark、python。要求具备扎实的编程基础与数据敏感度，熟悉主流工具链，有良好的团队协作与文档习惯。,2026-07-02,https://job.example.com/42_00028,19.0,22.0,20.5,"['linux', '数据仓库', 'etl', 'spark', 'python']",5
Python开发工程师,南京,本科,5-10年,智图智能有限公司,500-2000人,上市公司,16-26K·13薪,"sql, django, flask, docker, linux",Python开发工程师岗位：参与数据平台建设，保障数据质量与时效性。核心技能：sql、django、flask、docker、linux。要求具备扎实的编程基础与数据敏感度，熟悉主流工具链，有良好的团队协作与文档习惯。,2026-07-04,https://job.example.com/42_00029,16.0,26.0,21.0,"['sql', 'django', 'flask', 'docker', 'linux']",5
机器学习工程师,杭州,不限,5-10年,海数数据有限公司,150-500人,外资,16-21K,"pytorch, tensorflow, 机器学习, nlp, 深度学习",机器学习工程师岗位：负责业务数据的采集、清洗与指标体系搭建。核心技能：pytorch、tensorflow、机器学习、nlp、深度学习。要求具备扎实的编程基础与数据敏感度，熟悉主流工具链，有良好的团队协作与文档习惯。,2026-06-30,https://job.example.com/42_00030,16.0,21.0,18.5,"['pytorch', 'tensorflow', '机器学习', 'nlp', '深度学习']",5
BI工程师,广州,大专,在校/应届,云帆软件有限公司,500-2000人,上市公司,0.8-1.7万/月,"sql, 数据可视化, etl, tableau, powerbi",BI工程师岗位：与产品和运营协作，输出数据专题分析报告。核心技能：sql、数据可视化、etl、tableau、powerbi。要求具备扎实的编程基础与数据敏感度，熟悉主流工具链，有良好的团队协作与文档习惯。,2026-08-01,https://job.example.com/42_00031,8.0,17.0,12.5,"['sql', '数据可视化', 'etl', 'tableau', 'powerbi']",5
数据分析师,成都,本科,5-10年,蓝合软件有限公司,少于50人,合资,18-23K·16薪,"numpy, 统计学, 数据可视化, sql, excel",数据分析师岗位：参与数据模型设计与报表开发，支持业务决策。核心技能：numpy、统计学、数据可视化、sql、excel。要求具备扎实的编程基础与数据敏感度，熟悉主流工具链，有良好的团队协作与文档习惯。,2026-07-30,https://job.example.com/42_00032,18.0,23.0,20.5,"['numpy', '统计学', '数据可视化', 'sql', 'excel']",5
数据挖掘工程师,北京,硕士,3-5年,星脉软件有限公司,50-150人,民营,20-26K·13薪,"pandas, 统计学, python, spark, 数据挖掘",数据挖掘工程师岗位：与产品和运营协作，输出数据专题分析报告。核心技能：pandas、统计学、python、spark、数据挖掘。要求具备扎实的编程基础与数据敏感度，熟悉主流工具链，有良好的团队协作与文档习惯。,2026-07-12,https://job.example.com/42_00033,20.0,26.0,23.0,"['pandas', '统计学', 'python', 'spark', '数据挖掘']",5
算法工程师,武汉,本科,5-10年,海创科技有限公司,150-500人,国企,1.5-1.8万/月,"数据结构, 深度学习, 机器学习, python, 算法",算法工程师岗位：负责业务数据的采集、清洗与指标体系搭建。核心技能：数据结构、深度学习、机器学习、python、算法。要求具备扎实的编程基础与数据敏感度，熟悉主流工具链，有良好的团队协作与文档习惯。,2026-07-02,https://job.example.com/42_00034,15.0,18.0,16.5,"['数据结构', '深度学习', '机器学习', 'python', '算法']",5
机器学习工程师,北京,硕士,在校/应届,星合网络有限公司,150-500人,国企,14-19K,"机器学习, nlp, tensorflow, 深度学习, python",机器学习工程师岗位：参与数据平台建设，保障数据质量与时效性。核心技能：机器学习、nlp、tensorflow、深度学习、python。要求具备扎实的编程基础与数据敏感度，熟悉主流工具链，有良好的团队协作与文档习惯。,2026-06-14,https://job.example.com/42_00035,14.0,19.0,16.5,"['机器学习', 'nlp', 'tensorflow', '深度学习', 'python']",5
ETL工程师,北京,本科,3-5年,海脉数据有限公司,少于50人,外资,1.6-1.9万/月,"linux, spark, python, etl, sql",ETL工程师岗位：参与数据平台建设，保障数据质量与时效性。核心技能：linux、spark、python、etl、sql。要求具备扎实的编程基础与数据敏感度，熟悉主流工具链，有良好的团队协作与文档习惯。,2026-07-15,https://job.example.com/42_00036,16.0,19.0,17.5,"['linux', 'spark', 'python', 'etl', 'sql']",5
数据运营,武汉,大专,1-3年,云合网络有限公司,500-2000人,国企,11-21K·13薪,"excel, 数据分析, 数据可视化, python, sql",数据运营岗位：与产品和运营协作，输出数据专题分析报告。核心技能：excel、数据分析、数据可视化、python、sql。要求具备扎实的编程基础与数据敏感度，熟悉主流工具链，有良好的团队协作与文档习惯。,2026-07-26,https://job.example.com/42_00037,11.0,21.0,16.0,"['excel', '数据分析', '数据可视化', 'python', 'sql']",5
ETL工程师,杭州,本科,5-10年,锐创软件有限公司,150-500人,民营,20-25K·13薪,"etl, sql, hive, spark, linux",ETL工程师岗位：与产品和运营协作，输出数据专题分析报告。核心技能：etl、sql、hive、spark、linux。要求具备扎实的编程基础与数据敏感度，熟悉主流工具链，有良好的团队协作与文档习惯。,2026-06-28,https://job.example.com/42_00038,20.0,25.0,22.5,"['etl', 'sql', 'hive', 'spark', 'linux']",5
算法工程师,杭州,本科,1-3年,云帆软件有限公司,500-2000人,上市公司,1.6-2.6万/月,"推荐系统, nlp, 机器学习, python, 数据结构",算法工程师岗位：参与数据模型设计与报表开发，支持业务决策。核心技能：推荐系统、nlp、机器学习、python、数据结构。要求具备扎实的编程基础与数据敏感度，熟悉主流工具链，有良好的团队协作与文档习惯。,2026-07-28,https://job.example.com/42_00039,16.0,26.0,21.0,"['推荐系统', 'nlp', '机器学习', 'python', '数据结构']",5
数据分析师,上海,本科,在校/应届,蓝合智能有限公司,2000人以上,外资,13-21K·15薪,"numpy, excel, sql, pandas, 统计学",数据分析师岗位：参与数据平台建设，保障数据质量与时效性。核心技能：numpy、excel、sql、pandas、统计学。要求具备扎实的编程基础与数据敏感度，熟悉主流工具链，有良好的团队协作与文档习惯。,2026-07-29,https://job.example.com/42_00040,13.0,21.0,17.0,"['numpy', 'excel', 'sql', 'pandas', '统计学']",5
大数据开发工程师,杭州,本科,在校/应届,智图数据有限公司,50-150人,国企,1.2-1.9万/月,"java, linux, spark, hadoop, sql",大数据开发工程师岗位：参与数据平台建设，保障数据质量与时效性。核心技能：java、linux、spark、hadoop、sql。要求具备扎实的编程基础与数据敏感度，熟悉主流工具链，有良好的团队协作与文档习惯。,2026-06-13,https://job.example.com/42_00041,12.0,19.0,15.5,"['java', 'linux', 'spark', 'hadoop', 'sql']",5
机器学习工程师,杭州,本科,1-3年,云途智能有限公司,150-500人,国企,16-20K·16薪,"机器学习, 深度学习, python, pytorch, tensorflow",机器学习工程师岗位：负责核心算法的调研、实现与线上效果优化。核心技能：机器学习、深度学习、python、pytorch、tensorflow。要求具备扎实的编程基础与数据敏感度，熟悉主流工具链，有良好的团队协作与文档习惯。,2026-06-02,https://job.example.com/42_00042,16.0,20.0,18.0,"['机器学习', '深度学习', 'python', 'pytorch', 'tensorflow']",5
ETL工程师,杭州,硕士,1-3年,云脉科技有限公司,500-2000人,合资,面议,"spark, hive, etl, sql, 数据仓库",ETL工程师岗位：与产品和运营协作，输出数据专题分析报告。核心技能：spark、hive、etl、sql、数据仓库。要求具备扎实的编程基础与数据敏感度，熟悉主流工具链，有良好的团队协作与文档习惯。,2026-06-20,https://job.example.com/42_00043,,,,"['spark', 'hive', 'etl', 'sql', '数据仓库']",5
数据挖掘工程师,杭州,本科,在校/应届,启合网络有限公司,2000人以上,合资,10-14K·16薪,"python, pandas, sql, 机器学习, 数据挖掘",数据挖掘工程师岗位：与产品和运营协作，输出数据专题分析报告。核心技能：python、pandas、sql、机器学习、数据挖掘。要求具备扎实的编程基础与数据敏感度，熟悉主流工具链，有良好的团队协作与文档习惯。,2026-06-27,https://job.example.com/42_00044,10.0,14.0,12.0,"['python', 'pandas', 'sql', '机器学习', '数据挖掘']",5
机器学习工程师,杭州,大专,经验不限,云合软件有限公司,2000人以上,合资,10-17K·15薪,"机器学习, nlp, pytorch, 深度学习, python",机器学习工程师岗位：参与数据模型设计与报表开发，支持业务决策。核心技能：机器学习、nlp、pytorch、深度学习、python。要求具备扎实的编程基础与数据敏感度，熟悉主流工具链，有良好的团队协作与文档习惯。,2026-07-07,https://job.example.com/42_00045,10.0,17.0,13.5,"['机器学习', 'nlp', 'pytorch', '深度学习', 'python']",5
数据产品经理,上海,大专,在校/应届,星图数据有限公司,150-500人,国企,面议,"sql, 用户研究, 需求分析, 产品设计, 数据可视化",数据产品经理岗位：参与数据平台建设，保障数据质量与时效性。核心技能：sql、用户研究、需求分析、产品设计、数据可视化。要求具备扎实的编程基础与数据敏感度，熟悉主流工具链，有良好的团队协作与文档习惯。,2026-07-10,https://job.example.com/42_00046,,,,"['sql', '用户研究', '需求分析', '产品设计', '数据可视化']",5
ETL工程师,杭州,硕士,经验不限,锐合软件有限公司,少于50人,上市公司,薪资面议,"spark, linux, hive, python, etl",ETL工程师岗位：参与数据平台建设，保障数据质量与时效性。核心技能：spark、linux、hive、python、etl。要求具备扎实的编程基础与数据敏感度，熟悉主流工具链，有良好的团队协作与文档习惯。,2026-07-12,https://job.example.com/42_00047,,,,"['spark', 'linux', 'hive', 'python', 'etl']",5
ETL工程师,杭州,本科,经验不限,锐途数据有限公司,500-2000人,上市公司,1.4-1.9万/月,"etl, linux, 数据仓库, sql, hive",ETL工程师岗位：负责核心算法的调研、实现与线上效果优化。核心技能：etl、linux、数据仓库、sql、hive。要求具备扎实的编程基础与数据敏感度，熟悉主流工具链，有良好的团队协作与文档习惯。,2026-08-14,https://job.example.com/42_00048,14.0,19.0,16.5,"['etl', 'linux', '数据仓库', 'sql', 'hive']",5
BI工程师,南京,本科,1-3年,蓝合软件有限公司,150-500人,合资,1.1-2.1万/月,"powerbi, 数据可视化, excel, tableau, sql",BI工程师岗位：参与数据模型设计与报表开发，支持业务决策。核心技能：powerbi、数据可视化、excel、tableau、sql。要求具备扎实的编程基础与数据敏感度，熟悉主流工具链，有良好的团队协作与文档习惯。,2026-06-12,https://job.example.com/42_00049,11.0,21.0,16.0,"['powerbi', '数据可视化', 'excel', 'tableau', 'sql']",5
算法工程师,杭州,本科,经验不限,启合科技有限公司,50-150人,上市公司,14-24K·16薪,"数据结构, 深度学习, 推荐系统, python, 机器学习",算法工程师岗位：参与数据平台建设，保障数据质量与时效性。核心技能：数据结构、深度学习、推荐系统、python、机器学习。要求具备扎实的编程基础与数据敏感度，熟悉主流工具链，有良好的团队协作与文档习惯。,2026-06-07,https://job.example.com/42_00050,14.0,24.0,19.0,"['数据结构', '深度学习', '推荐系统', 'python', '机器学习']",5
机器学习工程师,杭州,硕士,在校/应届,智帆数据有限公司,150-500人,上市公司,薪资面议,"深度学习, tensorflow, pytorch, python, nlp",机器学习工程师岗位：参与数据平台建设，保障数据质量与时效性。核心技能：深度学习、tensorflow、pytorch、python、nlp。要求具备扎实的编程基础与数据敏感度，熟悉主流工具链，有良好的团队协作与文档习惯。,2026-06-12,https://job.example.com/42_00051,,,,"['深度学习', 'tensorflow', 'pytorch', 'python', 'nlp']",5
机器学习工程师,上海,硕士,经验不限,海数软件有限公司,500-2000人,合资,15-24K,"nlp, 机器学习, tensorflow, 深度学习, pytorch",机器学习工程师岗位：参与数据平台建设，保障数据质量与时效性。核心技能：nlp、机器学习、tensorflow、深度学习、pytorch。要求具备扎实的编程基础与数据敏感度，熟悉主流工具链，有良好的团队协作与文档习惯。,2026-08-16,https://job.example.com/42_00052,15.0,24.0,19.5,"['nlp', '机器学习', 'tensorflow', '深度学习', 'pytorch']",5
数据运营,广州,不限,经验不限,蓝图网络有限公司,2000人以上,上市公司,1.2-1.7万/月,"数据可视化, 用户增长, python, 数据分析, sql",数据运营岗位：负责业务数据的采集、清洗与指标体系搭建。核心技能：数据可视化、用户增长、python、数据分析、sql。要求具备扎实的编程基础与数据敏感度，熟悉主流工具链，有良好的团队协作与文档习惯。,2026-07-28,https://job.example.com/42_00053,12.0,17.0,14.5,"['数据可视化', '用户增长', 'python', '数据分析', 'sql']",5
数据运营,南京,本科,1-3年,海帆智能有限公司,500-2000人,国企,1.4-1.7万/月,"数据分析, python, 用户增长, sql, 数据可视化",数据运营岗位：参与数据模型设计与报表开发，支持业务决策。核心技能：数据分析、python、用户增长、sql、数据可视化。要求具备扎实的编程基础与数据敏感度，熟悉主流工具链，有良好的团队协作与文档习惯。,2026-07-11,https://job.example.com/42_00054,14.0,17.0,15.5,"['数据分析', 'python', '用户增长', 'sql', '数据可视化']",5
数据产品经理,武汉,硕士,3-5年,锐数科技有限公司,500-2000人,民营,18-21K·15薪,"excel, 需求分析, 产品设计, 数据可视化, sql",数据产品经理岗位：参与数据平台建设，保障数据质量与时效性。核心技能：excel、需求分析、产品设计、数据可视化、sql。要求具备扎实的编程基础与数据敏感度，熟悉主流工具链，有良好的团队协作与文档习惯。,2026-06-19,https://job.example.com/42_00055,18.0,21.0,19.5,"['excel', '需求分析', '产品设计', '数据可视化', 'sql']",5
BI工程师,广州,本科,1-3年,智图智能有限公司,500-2000人,外资,16-19K·14薪,"powerbi, excel, 数据可视化, etl, sql",BI工程师岗位：负责核心算法的调研、实现与线上效果优化。核心技能：powerbi、excel、数据可视化、etl、sql。要求具备扎实的编程基础与数据敏感度，熟悉主流工具链，有良好的团队协作与文档习惯。,2026-06-09,https://job.example.com/42_00056,16.0,19.0,17.5,"['powerbi', 'excel', '数据可视化', 'etl', 'sql']",5
机器学习工程师,杭州,本科,3-5年,星图网络有限公司,少于50人,民营,16-23K,"python, tensorflow, nlp, 深度学习, pytorch",机器学习工程师岗位：与产品和运营协作，输出数据专题分析报告。核心技能：python、tensorflow、nlp、深度学习、pytorch。要求具备扎实的编程基础与数据敏感度，熟悉主流工具链，有良好的团队协作与文档习惯。,2026-07-18,https://job.example.com/42_00057,16.0,23.0,19.5,"['python', 'tensorflow', 'nlp', '深度学习', 'pytorch']",5
BI工程师,广州,本科,3-5年,锐脉软件有限公司,2000人以上,国企,16-22K·13薪,"数据可视化, etl, tableau, sql, powerbi",BI工程师岗位：负责业务数据的采集、清洗与指标体系搭建。核心技能：数据可视化、etl、tableau、sql、powerbi。要求具备扎实的编程基础与数据敏感度，熟悉主流工具链，有良好的团队协作与文档习惯。,2026-08-21,https://job.example.com/42_00058,16.0,22.0,19.0,"['数据可视化', 'etl', 'tableau', 'sql', 'powerbi']",5
大数据开发工程师,南京,本科,3-5年,蓝创网络有限公司,500-2000人,外资,15-21K·13薪,"java, flink, hadoop, spark, sql",大数据开发工程师岗位：与产品和运营协作，输出数据专题分析报告。核心技能：java、flink、hadoop、spark、sql。要求具备扎实的编程基础与数据敏感度，熟悉主流工具链，有良好的团队协作与文档习惯。,2026-08-01,https://job.example.com/42_00059,15.0,21.0,18.0,"['java', 'flink', 'hadoop', 'spark', 'sql']",5
